fichier,capture_UTC,keyword_exact,volume,CPC_USD,concurrence,pays,langue
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,mesure formaldéhyde intérieur,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,moniteur particules fines intérieur,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,moniteur CO2 STOP,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,humidimètre bois,1300,0.44,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,humidimètre matériaux construction,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,testeur humidité mur,880,0.76,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,mesure humidité béton,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,sorbetière à compresseur,10,0.37,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,turbine à glace 1 litre,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,machine glace maison compresseur,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,sorbetière sans précongélation,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,thermostat connecté chaudière,320,0.39,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,thermostat intelligent chauffage,10,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,thermostat wifi chaudière gaz,170,0.39,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,thermostat connecté pompe à chaleur,170,1.03,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,compteur énergie connecté maison,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,suivi consommation électrique circuit,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,capteur consommation Linky,70,0.51,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,compteur énergie connecté solaire,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,planche de transfert fauteuil voiture,10,0.15,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,planche de transfert pliable,10,0.16,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,planche de glisse fauteuil roulant,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,planche transfert handicap,20,0.19,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,siège élévateur baignoire,70,0.79,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,lève-baignoire électrique,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,élévateur de bain personne âgée,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,siège de bain PMR électrique,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,rampe fauteuil roulant pliable,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,rampe PMR portable,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,rampe seuil fauteuil roulant,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,rampe aluminium fauteuil roulant,20,1.87,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,fauteuil releveur électrique,4400,1.07,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,fauteuil releveur 1 moteur,50,1.31,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,fauteuil électrique aide à se lever,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,fauteuil relax releveur personne âgée,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,rollator tout terrain,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,déambulateur extérieur grandes roues,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,déambulateur randonnée avec siège,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,rollator chemins graviers,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,analyseur piscine,320,0.24,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,testeur eau piscine,2900,0.22,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,humidimètre,1000,0.84,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,humidimetre,1900,0.44,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,sorbetière,22200,0.2,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,sorbetiere,22200,0.2,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,turbine à glace,1600,0.35,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,machine à glace,5400,0.3,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,thermostat connecté,14800,0.62,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,thermostat connecte,14800,0.62,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,compteur énergie connecté,30,0.5,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,planche de transfert,1600,0.3,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,rampe fauteuil roulant,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,fauteuil releveur,4400,1.09,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,fauteuil relax releveur,210,0.9,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,déambulateur,MANQUANT,MANQUANT,,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,rollator,4400,0.4,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,oreiller cervical,18100,1.11,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,oreiller ergonomique,22200,1.11,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,coussin de grossesse,33100,0.47,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,coussin allaitement,9900,0.43,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,réveil éducatif,260,0.33,HIGH,France,French
screen-lot2.json,2026-09-05T18:03:08.633215+00:00,surjeteuse,18100,0.39,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,coussin de lecture,9900,0.34,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,coussin lecture,1300,0.27,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,oreiller de lecture,590,0.39,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,cache climatisation,12100,0.82,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,cache clim,12100,0.82,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,cache pompe à chaleur,3600,0.41,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,mannequin couture,9900,0.37,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,mannequin couture réglable,1900,0.56,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,tapis de prière,8100,0.58,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,tapis de prière épais,590,0.41,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,carillon à vent,2900,0.26,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,carillon koshi,3600,0.54,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,coffret montre,1600,1.02,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,boite à montre,1000,0.72,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,coffret bijoux,1600,0.66,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,boite à bijoux,12100,0.85,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,parapluie inversé,1300,0.19,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,parapluie tempête,590,0.3,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,masque de sommeil,2900,0.94,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,masque sommeil occultant,10,0.84,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,pupitre lecture,90,0.26,HIGH,France,French
screen-lot3.json,2026-09-05T18:17:10.229951+00:00,support livre lecture,90,0.26,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,globe terrestre,27100,0.17,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,globe terrestre lumineux,1300,0.26,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,globe terrestre sur pied,140,0.26,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,carte monde bois,1900,0.76,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,carte du monde bois,1900,0.76,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,carte du monde 3d bois,20,0.33,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,carte monde à gratter,2400,0.22,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,carte du monde à gratter,2400,0.22,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,carte à gratter voyage,140,0.28,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,affiche plan ville personnalisée,MANQUANT,MANQUANT,,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,carte ville personnalisée,40,1.45,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,affiche carte ville,50,1.27,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,bracelet pierre naturelle,4400,0.76,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,bracelet améthyste,1600,0.8,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,bracelet œil de tigre,1900,0.74,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,collier pierre naturelle,1600,0.64,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,collier pierre de lune,1000,0.7,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,collier main de Fatma,390,0.44,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,bague pierre naturelle,720,0.73,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,bague améthyste,3600,1.13,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,bague pierre naturelle femme,70,0.75,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,boucles d oreilles pierre naturelle,590,0.66,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,boucles pendantes améthyste,MANQUANT,MANQUANT,,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,boucles d oreilles pierres naturelles,110,0.56,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,bijoux arbre de vie,1900,0.92,HIGH,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,bijoux mauvais œil,MANQUANT,MANQUANT,,France,French
screen-univers-reprises.json,2026-09-05T18:04:14.185586+00:00,bijoux symboliques,210,0.99,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,batardeau,14800,1.29,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,batardeau porte,720,0.97,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,barrière anti inondation,880,1.15,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,protection porte inondation,170,0.84,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,récupérateur chaleur cheminée,480,0.19,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,récupérateur air chaud poêle,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,récupérateur chaleur poêle à bois,110,0.1,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,distribution air chaud cheminée,170,0.12,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,affûteuse à eau,140,0.42,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,affuteuse a eau,390,0.28,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,touret affûtage à eau,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,machine affûtage couteaux,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cave à fromage,880,0.35,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cave affinage fromage,320,0.34,MEDIUM,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cave conservation fromage,10,0.24,MEDIUM,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,armoire affinage fromage maison,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,fumoir à froid,720,0.25,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,fumoir a froid,2900,0.31,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,kit fumage à froid,10,0.86,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,fumage à froid maison,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,four solaire,8100,0.19,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cuiseur solaire,320,0.21,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,four solaire portable,90,0.2,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cuiseur solaire camping,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,séchoir à plantes,90,0.2,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,séchoir herbes aromatiques,170,0.25,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,séchoir champignons,210,0.27,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,séchoir à claies,20,MANQUANT,LOW,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,garde manger,9900,0.3,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,garde-manger bois,2400,0.38,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,garde manger ventilé,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,garde manger fromage,260,0.26,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,table de rempotage,1900,0.31,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,table à rempoter en bois,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,table de rempotage jardin,20,0.88,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,établi de rempotage bois,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,table de préparation plantes,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,séchoir solaire fruits légumes,10,0.3,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,séchoir solaire alimentaire,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,déshydrateur solaire jardin,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,séchoir solaire herbes,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,déshydrateur solaire domestique,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,pedalboard guitare,720,0.3,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,pedal board guitare,110,0.34,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,pédalier effets guitare,40,0.45,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,pedalboard bois,90,0.16,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,pedalboard guitare avec alimentation,30,0.26,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cerf volant acrobatique,110,0.32,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cerf-volant 4 lignes,170,0.31,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cerf-volant pilotable adulte,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cerf volant carbone,10,0.17,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cerf-volant freestyle,70,0.22,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,jeu de croquet,1900,0.22,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,croquet jardin,10,0.31,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,set croquet bois,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,jeu de croquet en bois 4 joueurs,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,jeu extérieur croquet famille,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,presse à fleurs,210,0.16,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,presse fleurs grand format,20,0.13,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,presse herbier bois,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,presse botanique,20,0.09,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,presse fleurs bois,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,kit montage mouche,110,0.29,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,kit montage mouches pêche,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,étau montage mouche,170,0.19,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,kit fly tying,20,0.44,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,kit montage mouche débutant,10,MANQUANT,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,fléchettes acier,320,0.52,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,fléchettes pointe acier,480,0.41,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,fléchettes tungstène,70,0.41,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,fléchettes 23g,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cible fléchettes,2900,0.56,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cible sisal,170,0.5,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cible anglaise,50,0.21,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,cible steel tip,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,jeu de fléchettes,18100,0.41,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,éclairage cible fléchettes,720,0.59,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,surround cible fléchettes,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,protection mur cible fléchettes,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,tapis fléchettes,1600,0.69,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,armoire cible fléchettes,MANQUANT,MANQUANT,,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,ailettes fléchettes,880,0.66,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,tiges fléchettes,110,0.48,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,pointes fléchettes,30,0.29,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,étui fléchettes,110,0.58,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,peinture aquarelle,4400,0.26,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,aquarelle extra fine,170,0.35,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,godets aquarelle,480,0.39,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,tube aquarelle,110,0.22,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,papier aquarelle,1900,0.4,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,bloc aquarelle,110,0.25,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,papier coton aquarelle,170,0.34,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,carnet aquarelle,1300,0.23,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,pinceau aquarelle,12100,0.1,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,pinceaux aquarelle,12100,0.1,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,pinceau réservoir eau,20,0.15,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,pinceau lavis aquarelle,110,0.35,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,coffret aquarelle,480,0.39,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,kit aquarelle,1900,0.39,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,palette aquarelle voyage,140,0.25,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,aquarelle nomade,50,0.21,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,palette mélange aquarelle,20,0.24,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,godets vides aquarelle,20,0.22,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,masking fluid aquarelle,10,MANQUANT,HIGH,France,French
screen.json,2026-09-05T17:54:55.387931+00:00,trousse aquarelle,40,0.15,HIGH,France,French
witness_after.json,2026-09-05T17:54:55.669293+00:00,tufting,12100,1.62,HIGH,France,French
witness_before.json,2026-09-05T17:54:52.420368+00:00,tufting,12100,1.62,HIGH,France,French
witness_cloture.json,2026-09-05T18:45:10.551442+00:00,tufting,12100,1.62,HIGH,France,French
witness_final.json,2026-09-05T18:28:30.855794+00:00,tufting,12100,1.62,HIGH,France,French
