vmc double flux	33100	0.57	2250	fr	22200 27100 33100 27100 27100 33100 33100 49500 40500 49500 40500 33100
vmc double-flux	33100	0.57	2250	fr	22200 27100 33100 27100 27100 33100 33100 49500 40500 49500 40500 33100
vmc simple flux	18100	0.23	2250	fr	14800 14800 18100 14800 14800 18100 22200 27100 22200 27100 22200 22200
vmc hygroréglable	18100	0.33	2250	fr	12100 12100 12100 14800 14800 18100 18100 22200 22200 27100 22200 18100
vmc hygrométrique	18100	0.33	2250	fr	12100 12100 12100 14800 14800 18100 18100 22200 22200 27100 22200 18100
ventilation mécanique contrôlée double flux	33100	0.57	2250	fr	22200 27100 33100 27100 27100 33100 33100 49500 40500 49500 40500 33100
ventilation mécanique contrôlée simple flux	18100	0.23	2250	fr	14800 14800 18100 14800 14800 18100 22200 27100 22200 27100 22200 22200
ventilation mécanique contrôlée hygroréglable	18100	0.33	2250	fr	12100 12100 12100 14800 14800 18100 18100 22200 22200 27100 22200 18100
colonne ventilation	27100	0.21	2250	fr	27100 110000 135000 33100 2900 1900 1300 880 590 880 880 1600
ventilation poêle à bois	880	0.13	2250	fr	140 90 90 140 110 170 480 1600 1600 2400 2400 1300
extracteur d air	18100	0.4	2250	fr	18100 22200 27100 18100 14800 14800 18100 18100 18100 22200 18100 18100
extracteur d'air	18100	0.4	2250	fr	18100 22200 27100 18100 14800 14800 18100 18100 18100 22200 18100 18100
bouche vmc	5400	0.21	2250	fr	4400 4400 5400 5400 5400 6600 6600 6600 5400 6600 6600 6600
bouches vmc	5400	0.21	2250	fr	4400 4400 5400 5400 5400 6600 6600 6600 5400 6600 6600 6600
gaine vmc	4400	0.31	2250	fr	2900 3600 4400 4400 3600 5400 5400 5400 4400 5400 4400 4400
gaines vmc	4400	0.31	2250	fr	2900 3600 4400 4400 3600 5400 5400 5400 4400 5400 4400 4400
vmi	9900	0.86	2250	fr	5400 6600 6600 6600 8100 9900 14800 12100 8100 9900 9900 9900
ventilation vmi	2400	0.73	2250	fr	1900 1900 2400 2400 2400 2900 2400 2400 2400 3600 3600 2900
vmc salle de bains	8100	0.23	2250	fr	5400 5400 6600 6600 6600 8100 8100 9900 9900 12100 9900 8100
qualité air intérieur	70	0.15	2250	fr	30 40 50 70 90 90 70 90 70 90 90 70
qualité de l air intérieur	480	1.44	2250	fr	90 140 210 320 320 590 390 390 390 720 720 1000
capteur qualité air intérieur	70	0.72	2250	fr	30 50 40 70 70 90 70 110 70 40 20 140
détecteur qualité air intérieur	50	1.41	2250	fr	50 40 30 40 70 40 50 110 70 50 30 20
filtration air	70	2.28	2250	fr	50 70 50 70 70 90 70 70 50 90 70 90
air filtration	70	2.28	2250	fr	50 70 50 70 70 90 70 70 50 90 70 90
closed crankcase ventilation	40500	0.13	2250	fr	22200 33100 40500 40500 33100 27100 27100 49500 74000 60500 40500 33100
local exhaust ventilation	12100	0.27	2250	fr	14800 12100 12100 12100 12100 12100 12100 14800 12100 14800 14800 12100
castorama ventilation	9900	0.14	2250	fr	9900 27100 60500 8100 590 320 210 210 210 260 260 390
atlantic climatisation ventilation	8100	0.48	2250	fr	12100 22200 33100 8100 4400 3600 3600 4400 2900 4400 4400 4400
humidificateur	8100	0.44	2250	fr	4400 6600 12100 6600 5400 6600 8100 12100 12100 12100 6600 5400
humidificateur d air	33100	0.31	2250	fr	18100 27100 49500 22200 22200 27100 27100 60500 49500 49500 33100 22200
déshumidificateur	74000	0.5	2250	fr	40500 40500 60500 49500 33100 49500 90500 90500 110000 165000 110000 90500
aérateur	1900	0.23	2250	fr	1900 2400 2400 1900 1900 2400 1900 1900 1900 1900 1900 2400
aerateur	1900	0.23	2250	fr	1900 2400 2400 1900 1900 2400 1900 1900 1900 1900 1900 2400
