univers,mot_cle,volume_mensuel_UK,cpc_USD,decision,phase,groupe_regroupement,raison,source,pays,langue,reseaux_partenaires,mesure,date_verification,offre
watch,electric watch winder,20,1.19,CIBLABLE,COEUR,winder-electric,power feature; compatible,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,recommended watch winder,260,2.15,CIBLABLE,EXPLORATION,winder-head,commercial modifier; broad winder intent,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,self winding watch winder,2400,1.01,CIBLABLE,COEUR,auto-winder,automatic product intent,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,twin watch winder,20,0.61,CIBLABLE,COEUR,double-winder,two-watch synonym,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,two watch winder,20,2.81,CIBLABLE,COEUR,double-winder,direct capacity wording,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,watch winder,6600,1.76,CIBLABLE,EXPLORATION,winder-head,head; automatic winder intent broad,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,watch winder 2 watches,90,1.57,CIBLABLE,COEUR,double-winder,direct capacity intent,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,watch winder dual,90,2.27,CIBLABLE,COEUR,double-winder,word-order synonym,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,watch winder for 2 watches,90,1.57,CIBLABLE,COEUR,double-winder,direct capacity wording,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,watch winder for two watches,20,2.81,CIBLABLE,COEUR,double-winder,direct capacity wording,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,watch winders for automatic watches,2400,1.01,CIBLABLE,COEUR,auto-winder,plural automatic variant,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
watch,wrist watch winder,6600,1.76,CIBLABLE,EXPLORATION,winder-head,close wording variant,uk-20260907-cont3-watch-keywords.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,remontoir-double
metal,beginner metal detector,390,1.54,CIBLABLE,COEUR,beginners,same history as for beginners,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,best metal detector,1300,1.93,CIBLABLE,EXPLORATION,best-metal,commercial modifier,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,best metal detector for beginners,590,1.57,CIBLABLE,EXPLORATION,best-beginners,commercial modifier,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,best metal detector uk,880,1.83,CIBLABLE,EXPLORATION,best-metal-uk,UK commercial modifier,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,best starter metal detector,590,1.57,CIBLABLE,EXPLORATION,best-beginners,same history as best for beginners,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,buy metal detector,210,1.70,CIBLABLE,COEUR,buy,transaction intent,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,metal detector,27100,1.01,CIBLABLE,EXPLORATION,metal-root,head product term,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,metal detector adults,140,1.11,CIBLABLE,COEUR,adults,same history as for adults,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,metal detector for adults,140,1.11,CIBLABLE,COEUR,adults,explicit adult intent,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,metal detector for beginners,390,1.54,CIBLABLE,COEUR,beginners,audience intent,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,metal detector price,320,0.98,CIBLABLE,EXPLORATION,price,commercial research,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,metal detector uk,2900,1.41,CIBLABLE,EXPLORATION,metal-uk,UK modifier,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,metal detectors,27100,1.01,CIBLABLE,EXPLORATION,metal-root,plural same history,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
metal,metal detectors for sale,2400,1.53,CIBLABLE,COEUR,metal-sale,transaction intent,uk-20260907-cont2-metal-detector-expansion.json,GB,en,False,moyenne mensuelle Google Ads ; historique disponible dans la preuve API,2026-09-07,tx-850
chess,beginner chess set,110,0.47,CIBLABLE,COEUR,beginners,compatible audience intent,uk-20260907-q4-chess-expansion.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,echecs-39cm
chess,chess set,14800,0.85,CIBLABLE,EXPLORATION,chess-root,tete generic large intent,uk-20260907-q4-seeds-search-volume.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,echecs-39cm
chess,chess set for adults,70,0.76,CIBLABLE,COEUR,adults,compatible audience intent,uk-20260907-q4-chess-expansion.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,echecs-39cm
chess,chess sets,14800,0.85,CIBLABLE,EXPLORATION,chess-root,plural same history as root,uk-20260907-q4-seeds-search-volume.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,echecs-39cm
chess,foldable chess set,210,0.98,CIBLABLE,COEUR,folding,close folding wording,uk-20260907-q4-chess-expansion.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,echecs-39cm
chess,folding chess set,210,0.98,CIBLABLE,COEUR,folding,folding is sourced,uk-20260907-q4-chess-expansion.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,echecs-39cm
chess,portable chess set,320,0.61,CIBLABLE,COEUR,portable,portable is sourced,uk-20260907-q4-chess-expansion.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,echecs-39cm
chess,wooden chess set,1900,0.9,CIBLABLE,COEUR,wooden,wooden is sourced,uk-20260907-q4-seeds-search-volume.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,echecs-39cm
chess,wooden chess sets,1900,0.9,CIBLABLE,COEUR,wooden,plural same history as wooden,uk-20260907-q4-seeds-search-volume.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,echecs-39cm
chess,wooden folding chess set,40,0.76,CIBLABLE,COEUR,wooden-folding,wooden folding variant,uk-20260907-q4-chess-expansion.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,echecs-39cm
chess,wooden portable chess set,10,0.77,CIBLABLE,COEUR,wooden-portable,wooden portable variant,uk-20260907-q4-chess-expansion.json,GB,en,False,moyenne mensuelle Google Ads; historique août2025–juillet2026,2026-09-07,echecs-39cm
