sku,handle,collection,title,seo_title,seo_description,price_ttc,cost_proxy_ae,tech,color,size,supplier_url,supplier_id,supplier_title,status_sourcing,confidence,description_file,notes
ORYS-011-SMA-NOI,seche-serviette-smart-chrome-standard-928775,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique programmable, finition noir mat",Sèche-serviettes électrique programmable noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,84.54,smart,noir,standard,https://fr.aliexpress.com/item/1005012331928775.html,1005012331928775,"Sèche-serviettes électrique mural en acier inoxydable, chauffe-serviettes intelligent à commande tactile, avec minuterie",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-smart-chrome-standard-928775.html,SERP q=sèche serviette électrique mural; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-011-SMA-CHR→ORYS-011-SMA-NOI (handle inchangé).
ORYS-012-SMA-NOI,seche-serviette-smart-noir-standard-725210,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique programmable, finition noir mat",Sèche-serviettes électrique programmable noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,50.99,smart,noir,standard,https://fr.aliexpress.com/item/1005005448725210.html,1005005448725210,"Serviette électrique noire T1 à affichage numérique tactile, économie d'énergie, température électrique, stockage pour m",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-smart-noir-standard-725210.html,SERP q=smart wifi towel warmer; reconfirmer stock/ship panier
ORYS-013-SMA-NOI,seche-serviette-smart-noir-standard-736850,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique programmable, finition noir mat",Sèche-serviettes électrique programmable noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,119.24,smart,noir,standard,https://fr.aliexpress.com/item/1005007713736850.html,1005007713736850,"HOSmart-Porte-serviettes électrique à commande tactile, en acier inoxydable, rotatif, noir/blanc, T1",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-smart-noir-standard-736850.html,SERP q=heated towel rack ladder electric; reconfirmer stock/ship panier
ORYS-014-SMA-BLA,seche-serviette-smart-or-standard-321873,Sèche-serviettes,"Orysbain Ligne Blanche — sèche-serviettes électrique programmable, finition blanc",Sèche-serviettes électrique programmable blanc | Orysbain,"Sèche-serviettes électrique finition blanc : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,46.0,smart,blanc,standard,https://fr.aliexpress.com/item/1005009242321873.html,1005009242321873,Équipement de salle de bain Porte-serviettes électrique en acier inoxydable Contrôle de la température et du temps Maiso,FOURNISSEUR À TESTER,B,descriptions/seche-serviette-smart-or-standard-321873.html,SERP q=heated towel rack ladder electric; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-014-SMA-OR→ORYS-014-SMA-BLA (handle inchangé).
ORYS-015-SMA-NOI,seche-serviette-smart-or-grand-705256,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique programmable, finition noir mat",Sèche-serviettes électrique programmable noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,41.16,smart,noir,grand,https://fr.aliexpress.com/item/1005012497705256.html,1005012497705256,"Porte-serviettes chauffant électrique intelligent, 55 ° Chauffe-salle de bain mural en aluminium à température constante",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-smart-or-grand-705256.html,SERP q=sèche serviette électrique mural; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-015-SMA-OR→ORYS-015-SMA-NOI (handle inchangé).
ORYS-016-SMA-NOI,seche-serviette-smart-standard-slim-371307,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique programmable slim, finition noir mat",Sèche-serviettes électrique programmable noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,64.56,smart,noir,slim,https://fr.aliexpress.com/item/1005012274371307.html,1005012274371307,"Sèche-serviettes électrique de salle de bain avec affichage numérique, contrôle de la température et de la durée, barre ",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-smart-standard-slim-371307.html,SERP q=heated towel rack ladder electric; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-016-SMA-STA→ORYS-016-SMA-NOI (handle inchangé).
ORYS-017-SMA-BLA,seche-serviette-smart-standard-standard-168946,Sèche-serviettes,"Orysbain Ligne Blanche — sèche-serviettes électrique programmable, finition blanc",Sèche-serviettes électrique programmable blanc | Orysbain,"Sèche-serviettes électrique finition blanc : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,132.82,smart,blanc,standard,https://fr.aliexpress.com/item/1005008702168946.html,1005008702168946,"Sèche-serviettes mural électrique Homcom 110W avec contrôle Wi-Fi, écran tactile, minuterie et 10 barres de chauffage",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-smart-standard-standard-168946.html,SERP q=towel radiator electric bathroom; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-017-SMA-STA→ORYS-017-SMA-BLA (handle inchangé).
ORYS-018-TAC-NOI,seche-serviette-tactile-blanc-standard-180093,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique tactile, finition noir mat",Sèche-serviettes électrique tactile noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,37.99,tactile,noir,standard,https://fr.aliexpress.com/item/1005008781180093.html,1005008781180093,"Porte-serviettes chauffant électrique blanc pour salle de bain, avec affichage numérique tactile, serviette sèche thermo",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-blanc-standard-180093.html,SERP q=heated towel rack ladder electric; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-018-TAC-BLA→ORYS-018-TAC-NOI (handle inchangé).
ORYS-019-TAC-NOI,seche-serviette-tactile-chrome-standard-259571,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique tactile, finition noir mat",Sèche-serviettes électrique tactile noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,82.0,tactile,noir,standard,https://fr.aliexpress.com/item/1005012439259571.html,1005012439259571,"Sèche-serviettes mural chauffant sans perçage en acier inoxydable avec 5 barres rotatives, séchoir de salle de bain avec",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-chrome-standard-259571.html,SERP q=towel warmer electric stainless; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-019-TAC-CHR→ORYS-019-TAC-NOI (handle inchangé).
ORYS-020-TAC-BLA,seche-serviette-tactile-chrome-standard-542695,Sèche-serviettes,"Orysbain Ligne Blanche — sèche-serviettes électrique tactile, finition blanc",Sèche-serviettes électrique tactile blanc | Orysbain,"Sèche-serviettes électrique finition blanc : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",249,147.39,tactile,blanc,standard,https://fr.aliexpress.com/item/1005008408542695.html,1005008408542695,"Sèche-serviettes électrique 90W pour salles de bain, commande tactile, en acier inoxydable, 180 cm °   Séchoir rotatif p",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-chrome-standard-542695.html,SERP q=towel warmer electric stainless; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-020-TAC-CHR→ORYS-020-TAC-BLA (handle inchangé).
ORYS-021-TAC-NOI,seche-serviette-tactile-noir-standard-174351,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique tactile, finition noir mat",Sèche-serviettes électrique tactile noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,56.39,tactile,noir,standard,https://fr.aliexpress.com/item/1005005855174351.html,1005005855174351,"Serviette chauffante électrique noire et blanche, rail de séchage à affichage numérique de la chaleur T1, économie d'éne",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-noir-standard-174351.html,SERP q=towel radiator electric bathroom; reconfirmer stock/ship panier
ORYS-022-TAC-NOI,seche-serviette-tactile-noir-standard-069036,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique tactile, finition noir mat",Sèche-serviettes électrique tactile noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,52.39,tactile,noir,standard,https://fr.aliexpress.com/item/1005008985069036.html,1005008985069036,"Porte-serviettes chauffant électrique noir mat pour salle de bain, avec affichage numérique tactile, serviette sèche the",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-noir-standard-069036.html,SERP q=heated towel rack ladder electric; reconfirmer stock/ship panier
ORYS-023-TAC-STA,seche-serviette-tactile-or-standard-576697,Sèche-serviettes,"Orysbain Ligne Minérale — sèche-serviettes électrique tactile, finition métal soigné",Sèche-serviettes électrique tactile métal soigné | Orysbain,"Sèche-serviettes électrique finition métal soigné : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,48.79,tactile,standard,standard,https://fr.aliexpress.com/item/1005009818576697.html,1005009818576697,"Porte-serviettes chauffant électrique pour salle de bain, avec affichage numérique tactile, thermostatique, sèche-servie",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-or-standard-576697.html,SERP q=heated towel rack ladder electric; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-023-TAC-OR→ORYS-023-TAC-STA (handle inchangé).
ORYS-024-TAC-BLA,seche-serviette-tactile-or-slim-159087,Sèche-serviettes,"Orysbain Ligne Blanche — sèche-serviettes électrique tactile slim, finition blanc",Sèche-serviettes électrique tactile blanc | Orysbain,"Sèche-serviettes électrique finition blanc : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,39.19,tactile,blanc,slim,https://fr.aliexpress.com/item/1005009234159087.html,1005009234159087,49 × 96 cm porte-serviettes électrique affichage numérique économie d'énergie porte-serviettes électrique en aluminium c,FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-or-slim-159087.html,SERP q=smart wifi towel warmer; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-024-TAC-OR→ORYS-024-TAC-BLA (handle inchangé).
ORYS-025-TAC-BLA,seche-serviette-tactile-noir-standard-057975,Sèche-serviettes,"Orysbain Ligne Blanche — sèche-serviettes électrique tactile, finition blanc",Sèche-serviettes électrique tactile blanc | Orysbain,"Sèche-serviettes électrique finition blanc : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,50.39,tactile,blanc,standard,https://fr.aliexpress.com/item/1005008669057975.html,1005008669057975,"Porte-serviettes chauffant électrique noir pour salle de bain, avec affichage numérique tactile, thermostatique, sèche-s",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-noir-standard-057975.html,SERP q=smart wifi towel warmer; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-025-TAC-NOI→ORYS-025-TAC-BLA (handle inchangé).
ORYS-026-TAC-NOI,seche-serviette-tactile-noir-standard-282859,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique tactile, finition noir mat",Sèche-serviettes électrique tactile noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,50.39,tactile,noir,standard,https://fr.aliexpress.com/item/1005008704282859.html,1005008704282859,"Porte-serviettes électrique noir, écran d'affichage numérique tactile, chauffe-salle de bain, porte-serviettes de séchag",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-noir-standard-282859.html,SERP q=smart wifi towel warmer; reconfirmer stock/ship panier
ORYS-027-TAC-BLA,seche-serviette-tactile-noir-standard-185538,Sèche-serviettes,"Orysbain Ligne Blanche — sèche-serviettes électrique tactile, finition blanc",Sèche-serviettes électrique tactile blanc | Orysbain,"Sèche-serviettes électrique finition blanc : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,48.59,tactile,blanc,standard,https://fr.aliexpress.com/item/1005009242185538.html,1005009242185538,"Sèche-serviettes électrique pour salle de bain, noir/blanc, affichage numérique, porte-serviettes chauffant, thermostati",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-noir-standard-185538.html,SERP q=floor standing towel warmer electric; reconfirmer stock/ship panier | Recette couleur 21/08 photo01 ORYS-027-TAC-NOI→ORYS-027-TAC-BLA (handle inchangé).
ORYS-028-TAC-NOI,seche-serviette-tactile-noir-slim-133538,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique tactile slim, finition noir mat",Sèche-serviettes électrique tactile noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,47.99,tactile,noir,slim,https://fr.aliexpress.com/item/1005005453133538.html,1005005453133538,"Porte-serviettes électrique thermostatique, porte-serviettes électrique en aluminium, économie d'énergie, affichage numé",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-noir-slim-133538.html,SERP q=heated towel rack ladder electric; reconfirmer stock/ship panier
ORYS-029-TAC-NOI,seche-serviette-tactile-noir-standard-134278,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique tactile, finition noir mat",Sèche-serviettes électrique tactile noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,47.79,tactile,noir,standard,https://fr.aliexpress.com/item/1005009183134278.html,1005009183134278,"Porte-serviettes chauffant électrique noir pour salle de bain, avec affichage numérique tactile, thermostatique, sèche-s",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-noir-standard-134278.html,SERP q=smart wifi towel warmer; reconfirmer stock/ship panier
ORYS-030-TAC-NOI,seche-serviette-tactile-noir-standard-824844,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique tactile, finition noir mat",Sèche-serviettes électrique tactile noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,47.19,tactile,noir,standard,https://fr.aliexpress.com/item/1005009252824844.html,1005009252824844,"Porte-serviettes chauffant électrique noir pour salle de bain, avec affichage numérique tactile, thermostatique, sèche-s",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-noir-standard-824844.html,SERP q=heated towel rack ladder electric; reconfirmer stock/ship panier
ORYS-031-TAC-NOI,seche-serviette-tactile-noir-standard-278960,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique tactile, finition noir mat",Sèche-serviettes électrique tactile noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,47.19,tactile,noir,standard,https://fr.aliexpress.com/item/1005009174278960.html,1005009174278960,"Porte-serviettes chauffant électrique noir pour salle de bain, avec affichage numérique tactile, thermostatique, sèche-s",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-noir-standard-278960.html,SERP q=heated towel rack ladder electric; reconfirmer stock/ship panier
ORYS-032-TAC-NOI,seche-serviette-tactile-noir-standard-710988,Sèche-serviettes,"Orysbain Ligne Noire — sèche-serviettes électrique tactile, finition noir mat",Sèche-serviettes électrique tactile noir mat | Orysbain,"Sèche-serviettes électrique finition noir mat : serviettes chaudes après la douche, pose murale, usage par plages. Livraison suivie en France — Orysbain.",199,58.69,tactile,noir,standard,https://fr.aliexpress.com/item/1005008107710988.html,1005008107710988,"Serviette sèche thermostatique électrique T1 avec affichage numérique, chauffage en acier inoxydable 304, noir",FOURNISSEUR À TESTER,B,descriptions/seche-serviette-tactile-noir-standard-710988.html,SERP q=smart wifi towel warmer; reconfirmer stock/ship panier
