'matelas mémoire de forme'	8100	3.34	[5400, 5400, 6600, 6600, 8100, 8100, 9900, 6600, 9900, 8100, 8100, 9900]
'futon'	27100	0.66	[22200, 22200, 22200, 22200, 22200, 22200, 27100, 22200, 27100, 27100, 27100, 33100]
'matelas rafraichissant'	4400	0.47	[14800, 27100, 6600, 1000, 1000, 880, 590, 320, 390, 320, 720, 2900]
'surconfort de matelas 160x200'	14800	1.3	[14800, 9900, 12100, 12100, 14800, 14800, 22200, 14800, 22200, 14800, 14800, 18100]
'housse de matelas'	4400	0.67	[5400, 4400, 4400, 3600, 3600, 3600, 4400, 4400, 5400, 5400, 5400, 6600]
'sommier'	33100	1.78	[33100, 27100, 27100, 27100, 33100, 33100, 40500, 33100, 40500, 33100, 33100, 40500]
'matelas latex'	5400	3.12	[2900, 2900, 4400, 4400, 5400, 5400, 6600, 4400, 6600, 8100, 6600, 5400]
'matelas de sol'	5400	0.36	[5400, 4400, 5400, 5400, 5400, 5400, 6600, 4400, 5400, 5400, 5400, 6600]
'matelas pliable'	9900	0.25	[9900, 9900, 9900, 8100, 8100, 8100, 9900, 9900, 9900, 9900, 9900, 12100]
'matelas bébé'	None	None	[]
'sommeil'	27100	1.28	[60500, 22200, 33100, 18100, 22200, 22200, 18100, 18100, 40500, 22200, 27100, 22200]
'masque de sommeil'	2900	0.94	[3600, 3600, 2900, 1900, 2400, 2400, 2400, 2900, 2400, 1900, 2400, 2900]
'masque sommeil'	1900	0.85	[2900, 2900, 2400, 1600, 1600, 1300, 1600, 1900, 1900, 1600, 1600, 1900]
'masques sommeil'	1900	0.85	[2900, 2900, 2400, 1600, 1600, 1300, 1600, 1900, 1900, 1600, 1600, 1900]
'boules quies sommeil'	3600	0.59	[4400, 3600, 3600, 2900, 2900, 2900, 3600, 4400, 3600, 4400, 4400, 6600]
'bouchons oreilles sommeil'	1000	1.07	[1300, 1300, 1300, 1300, 1600, 1300, 1300, 720, 590, 590, 720, 880]
'casque anti-bruit sommeil'	720	0.32	[480, 480, 720, 720, 720, 720, 880, 720, 720, 590, 720, 720]
'oreiller'	49500	1.72	[49500, 40500, 40500, 40500, 49500, 49500, 60500, 60500, 60500, 49500, 49500, 49500]
'oreiller mémoire de forme'	27100	1.4	[18100, 14800, 18100, 18100, 22200, 27100, 40500, 33100, 40500, 27100, 27100, 27100]
'oreiller apnée du sommeil'	None	None	[]
'couverture lestée'	33100	0.91	[12100, 14800, 18100, 18100, 27100, 27100, 40500, 60500, 60500, 49500, 60500, 22200]
'bruit blanc'	22200	0.51	[18100, 22200, 22200, 27100, 27100, 22200, 27100, 27100, 27100, 27100, 22200, 22200]
'machine à bruit blanc'	880	0.44	[590, 720, 880, 720, 880, 590, 1300, 1000, 1000, 880, 880, 880]
'machine bruit blanc'	390	0.56	[320, 320, 390, 390, 390, 320, 480, 590, 590, 480, 590, 480]
'apnée du sommeil'	60500	0.57	[49500, 49500, 60500, 60500, 74000, 60500, 74000, 60500, 60500, 74000, 60500, 60500]
'gummies sommeil'	5400	0.85	[3600, 3600, 3600, 4400, 5400, 5400, 6600, 5400, 5400, 5400, 6600, 5400]
'bruit chambre'	10	None	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
'mousse anti-bruit chambre'	140	0.26	[70, 70, 110, 90, 110, 170, 320, 140, 110, 170, 140, 110]
'isolation bruit chambre'	110	0.21	[40, 70, 110, 90, 110, 140, 140, 110, 140, 140, 110, 140]
"bouchons d'oreille"	22200	1.46	[27100, 27100, 22200, 22200, 22200, 22200, 22200, 22200, 22200, 22200, 22200, 27100]
'boules quies'	33100	0.65	[33100, 33100, 33100, 33100, 33100, 27100, 33100, 33100, 33100, 33100, 33100, 40500]
'casque anti-bruit'	33100	0.63	[27100, 27100, 33100, 27100, 33100, 27100, 33100, 33100, 40500, 40500, 40500, 27100]
'obscurité chambre'	10	None	[40, 30, 20, 10, 10, 10, 10, 10, 10, 10, 10, 0]
'obscurité'	1000	None	[720, 720, 1000, 1000, 1300, 880, 1300, 1000, 1300, 1600, 1300, 1000]
'rideau occultant'	49500	0.72	[60500, 60500, 60500, 49500, 49500, 40500, 40500, 33100, 49500, 49500, 49500, 60500]
'rideaux occultants'	49500	0.72	[60500, 60500, 60500, 49500, 49500, 40500, 40500, 33100, 49500, 49500, 49500, 60500]
'store occultant'	12100	0.62	[18100, 22200, 18100, 12100, 12100, 9900, 9900, 8100, 9900, 9900, 9900, 14800]
'occultant'	8100	0.73	[6600, 8100, 8100, 8100, 8100, 6600, 8100, 5400, 6600, 8100, 8100, 6600]
'rideau occultant chambre'	390	0.79	[390, 390, 480, 480, 480, 320, 320, 260, 390, 390, 390, 390]
'volet occultant'	480	0.4	[720, 880, 590, 390, 480, 320, 320, 260, 390, 390, 390, 590]
