handle;audite_11_08;medias_avant;medias_aujourdhui;retires_12_08;methode_retrait;nature_retraits;maison_ajoutes;maison_aujourdhui;aliexpress_aujourdhui;groupes_apparence;couverture_maison;source_locale_fournisseur
cadran-sterile-couronne-3h-28-5;oui;10;10;0;-;-;0;10;0;7;complete;oui
cadran-sterile-date-aiguilles-29;oui;12;12;0;-;-;0;0;12;10;aucune;oui
cadran-sterile-lumineux-28-5;oui;20;20;0;-;-;0;20;0;18;complete;oui
cadran-sterile-saumon-29-aiguilles;oui;14;14;0;-;-;0;3;11;10;partielle;oui
cadran-sterile-sunburst-28-5;oui;15;15;0;-;-;0;15;0;12;complete;oui
cadran-sterile-vert-lumineux-28-5;oui;13;13;0;-;-;0;0;13;7;aucune;oui
cadran-texture-paon-29-sans-logo;oui;15;15;0;-;-;0;0;15;10;aucune;oui
cadran-vierge-sterile-28-5;oui;15;15;0;-;-;0;15;0;12;complete;oui
contre-la-montre-chronographe-panda;non;(cf. inventaire 08/08);25;0;-;-;0;20;5;;partielle;non
enrouleur-ressort-nh35;oui;6;4;6;fileDelete (definitif);100% photos AliExpress;4;4;0;4;complete;oui
heritage-plongeuse-vintage-42;non;(cf. inventaire 08/08);8;0;-;-;0;3;5;;partielle;non
insert-aluminium-38-di-30;oui;26;26;0;-;-;0;0;26;24;aucune;oui
insert-aluminium-gmt-38;oui;21;21;0;-;-;0;0;21;19;aucune;oui
insert-ceramique-chiffres-arabes-38;oui;14;14;0;-;-;0;0;14;8;aucune;oui
insert-ceramique-incline-38-lumineux;oui;34;34;0;-;-;0;0;34;29;aucune;oui
insert-ceramique-incurve-38;oui;23;23;0;-;-;0;0;23;20;aucune;oui
insert-ceramique-lumineux-38-plat;oui;18;18;0;-;-;0;0;18;12;aucune;oui
insert-lunette-aluminium-38-31-5;oui;45;45;0;-;-;0;0;45;42;aucune;oui
insert-lunette-aluminium-38-plat;oui;46;46;0;-;-;0;0;46;42;aucune;oui
insert-lunette-bleu-lumineux-38;oui;13;13;0;-;-;0;0;13;10;aucune;oui
insert-resine-38-31-5;oui;43;43;0;-;-;0;0;43;41;aucune;oui
integrale-sport-chic-acier;non;(cf. inventaire 08/08);12;0;-;-;0;7;5;;partielle;non
montre-pilote-plongee-39-chiffres-arabes;oui;16;16;0;-;-;0;0;16;10;aucune;oui
montre-sterile-40-nh35-saphir;oui;12;6;12;fileDelete (definitif);100% photos AliExpress;6;6;0;6;complete;oui
mouvement-famille-nh-34-72;oui;26;26;0;-;-;0;0;26;13;aucune;oui
mouvement-miyota-8215-nh34-gmt;oui;10;4;10;fileDelete (definitif);100% photos AliExpress;4;4;0;4;complete;oui
mouvement-nh35-date-blanche;oui;6;1;6;fileDelete (definitif);100% photos AliExpress;1;1;0;1;complete;oui
mouvement-nh35-date-rouge;oui;12;6;12;fileDelete (definitif);100% photos AliExpress;6;6;0;6;complete;oui
mouvement-nh36-jour-date;oui;13;8;13;fileDelete (definitif);100% photos AliExpress;8;8;0;8;complete;oui
new-arabic-sky-blue-nh35-28-5mm-sunburst-watch-dial-arabic-numeral-watch-faces-with-nh35-watch-hands-for-nh35-nh36-4r-movement;oui;26;11;26;fileDelete (definitif);100% photos AliExpress;11;11;0;11;complete;non
noirmont-deux-plongeuse-ceramique;non;(cf. inventaire 08/08);5;0;-;-;0;0;5;;aucune;non
porte-mouvement-multi-calibres;oui;13;13;0;-;-;0;0;13;7;aucune;oui
porte-mouvement-nh35;oui;7;1;7;fileDelete (definitif);100% photos AliExpress;1;1;0;1;complete;oui
presse-aiguilles-base;oui;2;1;2;fileDelete (definitif);100% photos AliExpress;1;1;0;7;complete;oui
remontoir-bois;non;(cf. inventaire 08/08);5;0;-;-;0;4;1;;partielle;non
remontoir-collection;non;(cf. inventaire 08/08);6;0;-;-;0;5;1;;partielle;non
rouleau-de-voyage-cuir;non;(cf. inventaire 08/08);5;0;-;-;0;4;1;;partielle;non
set-aiguilles-lumineuses-nh35;oui;9;4;9;fileDelete (definitif);100% photos AliExpress;4;4;0;4;complete;oui
support-mouvement-acrylique;oui;4;4;0;-;-;0;0;4;20;aucune;oui
support-mouvement-aluminium;oui;7;4;7;fileDelete (definitif);100% photos AliExpress;4;4;0;4;complete;oui
verre-saphir-dome-1-2;oui;5;1;5;fileDelete (definitif);100% photos AliExpress;1;1;0;1;complete;oui
verre-saphir-dome-1-5;oui;5;1;5;fileDelete (definitif);100% photos AliExpress;1;1;0;1;complete;oui
verre-saphir-dome-ar-bleu;oui;7;1;7;fileDelete (definitif);100% photos AliExpress;1;1;0;2;complete;oui
verre-saphir-double-dome-26-38;oui;5;5;0;-;-;0;0;5;30;aucune;oui
verre-saphir-loupe-30-5;oui;8;2;8;fileDelete (definitif);100% photos AliExpress;2;2;0;2;complete;oui
verre-saphir-plat-28-38;oui;6;1;6;fileDelete (definitif);100% photos AliExpress;1;1;0;1;complete;oui
voyageur-gmt-automatique;non;(cf. inventaire 08/08);11;0;-;-;0;11;0;;complete;non
