candidate_id,selling_price_ttc_hypothesis,net_revenue_vat20_scenario,payment_fees_2pct_plus_030_hypothesis,returns_sav_reserve_5pct_hypothesis,cpc_eur_proxy,cpc_stress_multiplier,cvr_hypothesis,expected_cpa_scenario,max_product_plus_shipping_eur,status
A2,79,65.8333,1.88,3.95,1.268446,1.5,0.015,126.8446,-66.8413,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A2,79,65.8333,1.88,3.95,1.268446,1.5,0.02,95.1334,-35.1301,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A2,79,65.8333,1.88,3.95,1.268446,1.5,0.03,63.4223,-3.419,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,79,65.8333,1.88,3.95,0.129574,1,0.01,12.9574,47.046,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,79,65.8333,1.88,3.95,0.129574,1,0.015,8.6383,51.3651,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,79,65.8333,1.88,3.95,0.129574,1,0.02,6.4787,53.5246,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,79,65.8333,1.88,3.95,0.129574,1,0.03,4.3191,55.6842,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,79,65.8333,1.88,3.95,0.129574,1.5,0.01,19.4361,40.5673,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,79,65.8333,1.88,3.95,0.129574,1.5,0.015,12.9574,47.046,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,79,65.8333,1.88,3.95,0.129574,1.5,0.02,9.718,50.2853,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,79,65.8333,1.88,3.95,0.129574,1.5,0.03,6.4787,53.5246,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,99,82.5,2.28,4.95,0.129574,1,0.01,12.9574,62.3126,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,99,82.5,2.28,4.95,0.129574,1,0.015,8.6383,66.6317,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,99,82.5,2.28,4.95,0.129574,1,0.02,6.4787,68.7913,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,99,82.5,2.28,4.95,0.129574,1,0.03,4.3191,70.9509,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,99,82.5,2.28,4.95,0.129574,1.5,0.01,19.4361,55.8339,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,99,82.5,2.28,4.95,0.129574,1.5,0.015,12.9574,62.3126,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,99,82.5,2.28,4.95,0.129574,1.5,0.02,9.718,65.552,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A5,99,82.5,2.28,4.95,0.129574,1.5,0.03,6.4787,68.7913,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A6,99,82.5,2.28,4.95,0.797589,1,0.01,79.7589,-4.4889,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A6,99,82.5,2.28,4.95,0.797589,1,0.015,53.1726,22.0974,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A6,99,82.5,2.28,4.95,0.797589,1,0.02,39.8795,35.3905,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A6,99,82.5,2.28,4.95,0.797589,1,0.03,26.5863,48.6837,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A6,99,82.5,2.28,4.95,0.797589,1.5,0.01,119.6384,-44.3684,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A6,99,82.5,2.28,4.95,0.797589,1.5,0.015,79.7589,-4.4889,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A6,99,82.5,2.28,4.95,0.797589,1.5,0.02,59.8192,15.4508,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
A6,99,82.5,2.28,4.95,0.797589,1.5,0.03,39.8795,35.3905,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,79,65.8333,1.88,3.95,0.199742,1,0.01,19.9742,40.0292,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,79,65.8333,1.88,3.95,0.199742,1,0.015,13.3161,46.6872,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,79,65.8333,1.88,3.95,0.199742,1,0.02,9.9871,50.0162,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,79,65.8333,1.88,3.95,0.199742,1,0.03,6.6581,53.3453,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,79,65.8333,1.88,3.95,0.199742,1.5,0.01,29.9613,30.0421,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,79,65.8333,1.88,3.95,0.199742,1.5,0.015,19.9742,40.0292,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,79,65.8333,1.88,3.95,0.199742,1.5,0.02,14.9806,45.0227,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,79,65.8333,1.88,3.95,0.199742,1.5,0.03,9.9871,50.0162,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,59.9,49.9167,1.498,2.995,0.199742,1,0.01,19.9742,25.4495,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,59.9,49.9167,1.498,2.995,0.199742,1,0.015,13.3161,32.1076,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,59.9,49.9167,1.498,2.995,0.199742,1,0.02,9.9871,35.4366,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,59.9,49.9167,1.498,2.995,0.199742,1,0.03,6.6581,38.7656,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,59.9,49.9167,1.498,2.995,0.199742,1.5,0.01,29.9613,15.4624,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,59.9,49.9167,1.498,2.995,0.199742,1.5,0.015,19.9742,25.4495,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,59.9,49.9167,1.498,2.995,0.199742,1.5,0.02,14.9806,30.443,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B1,59.9,49.9167,1.498,2.995,0.199742,1.5,0.03,9.9871,35.4366,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,29.9,24.9167,0.898,1.495,0.323805,1,0.01,32.3805,-9.8569,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,29.9,24.9167,0.898,1.495,0.323805,1,0.015,21.587,0.9366,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,29.9,24.9167,0.898,1.495,0.323805,1,0.02,16.1903,6.3334,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,29.9,24.9167,0.898,1.495,0.323805,1,0.03,10.7935,11.7302,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,29.9,24.9167,0.898,1.495,0.323805,1.5,0.01,48.5708,-26.0471,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,29.9,24.9167,0.898,1.495,0.323805,1.5,0.015,32.3805,-9.8569,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,29.9,24.9167,0.898,1.495,0.323805,1.5,0.02,24.2854,-1.7617,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,29.9,24.9167,0.898,1.495,0.323805,1.5,0.03,16.1903,6.3334,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,59.9,49.9167,1.498,2.995,0.323805,1,0.01,32.3805,13.0431,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,59.9,49.9167,1.498,2.995,0.323805,1,0.015,21.587,23.8366,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,59.9,49.9167,1.498,2.995,0.323805,1,0.02,16.1903,29.2334,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,59.9,49.9167,1.498,2.995,0.323805,1,0.03,10.7935,34.6302,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,59.9,49.9167,1.498,2.995,0.323805,1.5,0.01,48.5708,-3.1471,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,59.9,49.9167,1.498,2.995,0.323805,1.5,0.015,32.3805,13.0431,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,59.9,49.9167,1.498,2.995,0.323805,1.5,0.02,24.2854,21.1383,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B2,59.9,49.9167,1.498,2.995,0.323805,1.5,0.03,16.1903,29.2334,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B3,24.9,20.75,0.798,1.245,0.344296,1,0.01,34.4296,-15.7226,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B3,24.9,20.75,0.798,1.245,0.344296,1,0.015,22.9531,-4.2461,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B3,24.9,20.75,0.798,1.245,0.344296,1,0.02,17.2148,1.4922,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B3,24.9,20.75,0.798,1.245,0.344296,1,0.03,11.4765,7.2305,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B3,24.9,20.75,0.798,1.245,0.344296,1.5,0.01,51.6444,-32.9374,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B3,24.9,20.75,0.798,1.245,0.344296,1.5,0.015,34.4296,-15.7226,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B3,24.9,20.75,0.798,1.245,0.344296,1.5,0.02,25.8222,-7.1152,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
B3,24.9,20.75,0.798,1.245,0.344296,1.5,0.03,17.2148,1.4922,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,89.9,74.9167,2.098,4.495,0.234697,1,0.01,23.4697,44.854,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,89.9,74.9167,2.098,4.495,0.234697,1,0.015,15.6464,52.6772,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,89.9,74.9167,2.098,4.495,0.234697,1,0.02,11.7348,56.5888,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,89.9,74.9167,2.098,4.495,0.234697,1,0.03,7.8232,60.5004,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,89.9,74.9167,2.098,4.495,0.234697,1.5,0.01,35.2045,33.1192,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,89.9,74.9167,2.098,4.495,0.234697,1.5,0.015,23.4697,44.854,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,89.9,74.9167,2.098,4.495,0.234697,1.5,0.02,17.6022,50.7214,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,89.9,74.9167,2.098,4.495,0.234697,1.5,0.03,11.7348,56.5888,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,59.9,49.9167,1.498,2.995,0.234697,1,0.01,23.4697,21.954,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,59.9,49.9167,1.498,2.995,0.234697,1,0.015,15.6464,29.7772,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,59.9,49.9167,1.498,2.995,0.234697,1,0.02,11.7348,33.6888,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,59.9,49.9167,1.498,2.995,0.234697,1,0.03,7.8232,37.6004,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,59.9,49.9167,1.498,2.995,0.234697,1.5,0.01,35.2045,10.2192,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,59.9,49.9167,1.498,2.995,0.234697,1.5,0.015,23.4697,21.954,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,59.9,49.9167,1.498,2.995,0.234697,1.5,0.02,17.6022,27.8214,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C2,59.9,49.9167,1.498,2.995,0.234697,1.5,0.03,11.7348,33.6888,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C6,69.99,58.325,1.6998,3.4995,1.06526,1,0.01,106.526,-53.4003,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C6,69.99,58.325,1.6998,3.4995,1.06526,1,0.015,71.0174,-17.8917,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C6,69.99,58.325,1.6998,3.4995,1.06526,1,0.02,53.263,-0.1373,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C6,69.99,58.325,1.6998,3.4995,1.06526,1,0.03,35.5087,17.617,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C6,69.99,58.325,1.6998,3.4995,1.06526,1.5,0.01,159.7891,-106.6634,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C6,69.99,58.325,1.6998,3.4995,1.06526,1.5,0.015,106.526,-53.4003,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C6,69.99,58.325,1.6998,3.4995,1.06526,1.5,0.02,79.8945,-26.7688,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
C6,69.99,58.325,1.6998,3.4995,1.06526,1.5,0.03,53.263,-0.1373,"HYPOTHESE — seuil de coût, pas devis ni CVR prévue"
