id;titre;statut;famille;type;images;variantes;variantes_avec_image;visuels_variantes_distincts;option_visuelle;valeurs_option;classement;verdict_vs_cible
10980082745682;Remontoir Bois Noir laqué;actif;Accessoire;Accessoire;3;2;2;1;Capacité;2;insuffisante;OK
10980083106130;Remontoir Bois Ébène;actif;Accessoire;Accessoire;3;2;2;1;Capacité;2;insuffisante;OK
10980083269970;Remontoir Bois Noyer;actif;Accessoire;Accessoire;3;2;2;1;Capacité;2;insuffisante;OK
10980084056402;Remontoir Collection Bois LED noir;actif;Accessoire;Accessoire;3;2;2;1;Capacité;2;insuffisante;OK
10980388405586;Bracelet Jubilé — embouts courbes;actif;Accessoire;Bracelet;3;15;0;0;Band Color;3;insuffisante;OK
10980388438354;Bracelet acier massif — 12 à 22 mm;actif;Accessoire;Bracelet;3;60;0;0;Band Color;6;insuffisante;OK
10980388471122;Bracelet Jubilé acier — 20 mm;actif;Accessoire;Bracelet;3;1;0;0;Band Color;1;insuffisante;OK
10980388536658;Bracelet caoutchouc gaufré;actif;Accessoire;Bracelet;3;72;0;0;Band Color;36;insuffisante;OK
10980388569426;Coussins de présentation — lot de 10;actif;Accessoire;Rangement;3;5;0;0;Color;5;insuffisante;OK
10980388602194;Étui de voyage rigide;actif;Accessoire;Rangement;3;9;0;0;Color;9;insuffisante;OK
10980388667730;Coffret 6 montres — couvercle verre;actif;Accessoire;Rangement;3;1;0;0;Color;1;insuffisante;OK
10980388733266;Kit d'entretien — 13 pièces;actif;Accessoire;Outillage;3;1;0;0;Color;1;insuffisante;OK
10980388766034;Outil de mise à taille de bracelet;actif;Accessoire;Outillage;3;2;0;0;Color;2;insuffisante;OK
10980388864338;Bracelet milanais — maille italienne;actif;Accessoire;Bracelet;3;32;0;0;Band Color;8;insuffisante;OK
10980388897106;Bracelet cuir daim — dégagement rapide;actif;Accessoire;Bracelet;3;64;0;0;Band Color;16;insuffisante;OK
10980388962642;Loupe d'horloger;actif;Accessoire;Outillage;3;13;0;0;Color;13;insuffisante;OK
10977444659538;Remontoir Bois;brouillon;Accessoire;Accessoire;5;1;0;0;Finition & capacité;1;correcte;OK
10977444823378;Rouleau de Voyage — cuir;brouillon;Accessoire;Accessoire;5;1;0;0;Couleur & capacité;1;correcte;OK
10977444757842;Remontoir Collection — 2 à 6 montres;brouillon;Accessoire;Accessoire;6;1;0;0;Coffret & capacité;1;correcte;OK
10977444987218;Set de tournevis d'horloger — 10 pièces;actif;Accessoire;Accessoire;8;5;5;5;Finition des manches;5;correcte;OK
10977445085522;Bracelet Présidentiel — doré;actif;Accessoire;Accessoire;11;8;8;8;Maille & finition;8;correcte;OK
10981883150674;Aviateur Acier — Cadran à chiffres arabes;brouillon;Montre;Montre automatique;0;6;0;0;Mouvement & fond;6;critique;sous-cible
10978720317778;Trente-Neuf Rose — Classique cannelée;actif;Montre;Montre automatique;1;8;0;0;Mouvement & fond;8;critique;sous-cible
10980078911826;Intégrale Vert — Sport chic acier;actif;Montre;Montre automatique;1;1;1;1;Cadran;1;critique;sous-cible
10977448558930;Noirmont Un — Aviateur acier à chiffres 1-12;actif;Montre;Montre automatique;4;6;6;1;Boîtier;1;correcte;sous-cible
10978718744914;Trente-Six Rouge — Classique jubilé;actif;Montre;Montre automatique;4;4;0;0;Taille & fond;4;correcte;sous-cible
10978719039826;Trente-Six Bleu — Classique jubilé;actif;Montre;Montre automatique;4;4;0;0;Taille & fond;4;correcte;sous-cible
10978719236434;Trente-Six Rose — Classique jubilé;actif;Montre;Montre automatique;4;4;0;0;Taille & fond;4;correcte;sous-cible
10978719367506;Trente-Six Doré — Classique jubilé;actif;Montre;Montre automatique;4;4;0;0;Taille & fond;4;correcte;sous-cible
10978719433042;Trente-Six Or intégral — Classique jubilé;actif;Montre;Montre automatique;4;4;0;0;Taille & fond;4;correcte;sous-cible
10978720186706;Trente-Neuf Bleu mer — Classique cannelée;actif;Montre;Montre automatique;4;8;0;0;Mouvement & fond;8;correcte;sous-cible
10978720842066;Trente-Neuf Noir — Classique cannelée;actif;Montre;Montre automatique;4;8;0;0;Mouvement & fond;8;correcte;sous-cible
10978721235282;Quarante-et-Un Bleu Acier — Sport acier;actif;Montre;Montre automatique;4;2;0;0;Mouvement;2;correcte;sous-cible
10978721431890;Quarante-et-Un Noir & Jaune Acier — Sport acier;actif;Montre;Montre automatique;4;2;0;0;Mouvement;2;correcte;sous-cible
10978721530194;Quarante-et-Un Noir Acier — Sport acier;actif;Montre;Montre automatique;4;2;0;0;Mouvement;2;correcte;sous-cible
10978721726802;Quarante-et-Un Blanc — Sport cuir;actif;Montre;Montre automatique;4;2;0;0;Mouvement;2;correcte;sous-cible
10978721857874;Quarante-et-Un Bleu — Sport cuir;actif;Montre;Montre automatique;4;2;0;0;Mouvement;2;correcte;sous-cible
10978721988946;Quarante-et-Un Noir — Sport cuir;actif;Montre;Montre automatique;4;2;0;0;Mouvement;2;correcte;sous-cible
10978722087250;Noirmont Un Bronze — Aviateur bronze à chiffres 1-12;actif;Montre;Montre automatique;4;6;6;1;Mouvement & fond;6;correcte;sous-cible
10978722251090;Trente-Neuf Duo Doré — Classique bicolore;actif;Montre;Montre automatique;4;6;0;0;Taille & fond;2;correcte;sous-cible
10980078780754;Voyageur Or — GMT bracelet 3 maillons;actif;Montre;Montre automatique;4;4;4;1;Mouvement & fond;4;correcte;sous-cible
10980079042898;Voyageur Or — GMT bracelet Président;actif;Montre;Montre automatique;4;4;4;1;Mouvement & fond;4;correcte;sous-cible
10980079075666;Intégrale Brun or rose — Sport chic;actif;Montre;Montre automatique;4;1;1;1;Cadran;1;correcte;sous-cible
10980080714066;Intégrale Turquoise — Sport chic acier;actif;Montre;Montre automatique;4;1;1;1;Cadran;1;correcte;sous-cible
10980080845138;Voyageur Bicolore — GMT bracelet 3 maillons;actif;Montre;Montre automatique;4;4;4;1;Mouvement & fond;4;correcte;sous-cible
10980080877906;Intégrale Noir — Sport chic acier;actif;Montre;Montre automatique;4;1;1;1;Cadran;1;correcte;sous-cible
10980081074514;Intégrale Bleu nuit — Sport chic acier;actif;Montre;Montre automatique;4;1;1;1;Cadran;1;correcte;sous-cible
10980081107282;Voyageur Bicolore — GMT bracelet 5 maillons;actif;Montre;Montre automatique;4;4;4;1;Mouvement & fond;4;correcte;sous-cible
10980081205586;Intégrale Bleu ciel — Sport chic acier;actif;Montre;Montre automatique;4;1;1;1;Cadran;1;correcte;sous-cible
10980081336658;Intégrale Blanc argenté — Sport chic acier;actif;Montre;Montre automatique;4;1;1;1;Cadran;1;correcte;sous-cible
10980081402194;Voyageur Or rose — GMT bracelet 5 maillons;actif;Montre;Montre automatique;4;4;4;1;Mouvement & fond;4;correcte;sous-cible
10980081664338;Voyageur Bicolore cadran brun — GMT automatique;actif;Montre;Montre automatique;4;4;4;1;Mouvement & fond;4;correcte;sous-cible
10980081762642;Contre-la-montre Rose poudré — Chronographe;actif;Montre;Montre chronographe;4;1;1;1;Cadran;1;correcte;sous-cible
10980081926482;Contre-la-montre Gris anthracite — Chronographe;actif;Montre;Montre chronographe;4;1;1;1;Cadran;1;correcte;sous-cible
10980082778450;Contre-la-montre Argent — Chronographe;actif;Montre;Montre chronographe;4;1;1;1;Cadran;1;correcte;sous-cible
10980082843986;Héritage Bleu — Plongeuse vintage 42;actif;Montre;Montre automatique;4;1;1;1;Cadran & lunette;1;correcte;sous-cible
10980083007826;Contre-la-montre Compteurs bleus — Chronographe;actif;Montre;Montre chronographe;4;1;1;1;Cadran;1;correcte;sous-cible
10980083138898;Contre-la-montre Bleu glacier — Chronographe;actif;Montre;Montre chronographe;4;1;1;1;Cadran;1;correcte;sous-cible
10980084220242;Héritage Bleu nuit — Plongeuse vintage 42;actif;Montre;Montre automatique;4;1;1;1;Cadran & lunette;1;correcte;sous-cible
10980084515154;Héritage Vert — Plongeuse vintage 42;actif;Montre;Montre automatique;4;1;1;1;Cadran & lunette;1;correcte;sous-cible
10988849135954;Squelette Carré — Montre squelette automatique NH70;actif;Montre;Montre automatique;4;2;2;1;Cadran;2;correcte;sous-cible
10988849234258;Éclaireur Acier — Field à chiffres 1-12;actif;Montre;Montre automatique;4;66;66;1;Cadran;11;correcte;sous-cible
10988849267026;Éclaireur Bronze — Field militaire à chiffres 1-12;actif;Montre;Montre automatique;4;18;18;1;Cadran;9;correcte;sous-cible
10988849299794;Explorateur — Sport chic à chiffres 3-6-9;actif;Montre;Montre automatique;4;104;104;1;Cadran;13;correcte;sous-cible
10988849365330;Squelette Octogone — Montre squelette automatique NH70;actif;Montre;Montre automatique;4;4;4;1;Cadran;2;correcte;sous-cible
10977448624466;Noirmont Deux — Plongeuse céramique;brouillon;Montre;Montre automatique;5;28;0;0;Référence;7;correcte;OK
10978720055634;Trente-Neuf Rouge — Classique cannelée;actif;Montre;Montre automatique;5;8;0;0;Mouvement & fond;8;correcte;OK
10978720547154;Trente-Neuf Vert — Classique cannelée;actif;Montre;Montre automatique;5;8;0;0;Mouvement & fond;8;correcte;OK
10978720678226;Trente-Neuf Bleu — Classique cannelée;actif;Montre;Montre automatique;5;8;0;0;Mouvement & fond;8;correcte;OK
10980080419154;Contre-la-montre Panda inversé — Chronographe;actif;Montre;Montre chronographe;5;2;2;2;Aiguille de chronographe;2;correcte;OK
10980080779602;Contre-la-montre Champagne — Chronographe;actif;Montre;Montre chronographe;5;2;2;2;Bracelet;2;correcte;OK
10980080976210;Contre-la-montre Panda — Chronographe;actif;Montre;Montre chronographe;5;2;2;2;Cadran & bracelet;2;correcte;OK
10980081041746;Contre-la-montre Noir — Chronographe;actif;Montre;Montre chronographe;5;2;2;2;Lunette;2;correcte;OK
10980081533266;Contre-la-montre Turquoise — Chronographe;actif;Montre;Montre chronographe;5;2;2;2;Compteurs;2;correcte;OK
10980081631570;Contre-la-montre Vert — Chronographe;actif;Montre;Montre chronographe;5;2;2;2;Bracelet;2;correcte;OK
10980078879058;Contre-la-montre Blanc — Chronographe;actif;Montre;Montre chronographe;6;3;3;3;Cadran & bracelet;3;correcte;OK
10977444594002;Héritage — Plongeuse vintage 42;brouillon;Montre;Montre automatique;8;1;0;0;Cadran & lunette;1;correcte;OK
10977448722770;Trente-Neuf Duo — Classique bicolore;actif;Montre;Montre automatique;10;6;6;1;Boîtier;2;correcte;OK
10977448657234;Voyageur — GMT automatique;brouillon;Montre;Montre automatique;11;12;0;0;Boîtier & bracelet;3;correcte;OK
10977444430162;Trente-Neuf — Classique cannelée;actif;Montre;Montre automatique;12;8;8;1;Cadran;1;correcte;OK
10977444561234;Intégrale — Sport chic acier;brouillon;Montre;Montre automatique;12;1;0;0;Cadran;1;correcte;OK
10977448690002;Trente-Six — Classique jubilé;actif;Montre;Montre automatique;14;4;4;1;Cadran;1;correcte;OK
10977444495698;Quarante-et-Un — Sport acier;actif;Montre;Montre automatique;15;4;4;2;Cadran & bracelet;2;correcte;OK
10977444528466;Contre-la-montre — Chronographe panda;brouillon;Montre;Montre chronographe;25;1;0;0;Cadran;1;correcte;OK
