terme,date,indice,source
sac de voyage cuir,2021-07-01,31,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2021-08-01,44,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2021-09-01,38,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2021-10-01,39,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2021-11-01,89,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2021-12-01,79,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-01-01,44,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-02-01,37,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-03-01,42,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-04-01,39,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-05-01,36,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-06-01,34,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-07-01,45,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-08-01,36,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-09-01,32,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-10-01,48,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-11-01,89,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2022-12-01,85,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-01-01,56,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-02-01,38,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-03-01,27,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-04-01,43,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-05-01,45,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-06-01,34,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-07-01,53,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-08-01,42,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-09-01,39,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-10-01,42,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-11-01,79,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2023-12-01,79,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-01-01,47,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-02-01,29,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-03-01,35,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-04-01,36,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-05-01,35,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-06-01,42,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-07-01,41,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-08-01,37,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-09-01,38,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-10-01,48,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-11-01,78,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2024-12-01,86,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-01-01,47,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-02-01,40,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-03-01,38,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-04-01,38,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-05-01,32,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-06-01,38,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-07-01,51,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-08-01,38,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-09-01,51,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-10-01,46,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-11-01,95,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2025-12-01,100,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2026-01-01,68,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2026-02-01,53,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2026-03-01,46,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2026-04-01,43,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2026-05-01,55,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2026-06-01,63,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2026-07-01,70,trends-q4-sac-voyage-cuir.json
sac de voyage cuir,2026-08-01,62,trends-q4-sac-voyage-cuir.json
pyjama soie,2021-01-01,50,trends-q4-pyjama-soie.json
pyjama soie,2021-02-01,41,trends-q4-pyjama-soie.json
pyjama soie,2021-03-01,29,trends-q4-pyjama-soie.json
pyjama soie,2021-04-01,29,trends-q4-pyjama-soie.json
pyjama soie,2021-05-01,31,trends-q4-pyjama-soie.json
pyjama soie,2021-06-01,17,trends-q4-pyjama-soie.json
pyjama soie,2021-07-01,19,trends-q4-pyjama-soie.json
pyjama soie,2021-08-01,17,trends-q4-pyjama-soie.json
pyjama soie,2021-09-01,20,trends-q4-pyjama-soie.json
pyjama soie,2021-10-01,25,trends-q4-pyjama-soie.json
pyjama soie,2021-11-01,62,trends-q4-pyjama-soie.json
pyjama soie,2021-12-01,82,trends-q4-pyjama-soie.json
pyjama soie,2022-01-01,49,trends-q4-pyjama-soie.json
pyjama soie,2022-02-01,29,trends-q4-pyjama-soie.json
pyjama soie,2022-03-01,20,trends-q4-pyjama-soie.json
pyjama soie,2022-04-01,22,trends-q4-pyjama-soie.json
pyjama soie,2022-05-01,17,trends-q4-pyjama-soie.json
pyjama soie,2022-06-01,19,trends-q4-pyjama-soie.json
pyjama soie,2022-07-01,19,trends-q4-pyjama-soie.json
pyjama soie,2022-08-01,18,trends-q4-pyjama-soie.json
pyjama soie,2022-09-01,27,trends-q4-pyjama-soie.json
pyjama soie,2022-10-01,32,trends-q4-pyjama-soie.json
pyjama soie,2022-11-01,68,trends-q4-pyjama-soie.json
pyjama soie,2022-12-01,78,trends-q4-pyjama-soie.json
pyjama soie,2023-01-01,33,trends-q4-pyjama-soie.json
pyjama soie,2023-02-01,28,trends-q4-pyjama-soie.json
pyjama soie,2023-03-01,19,trends-q4-pyjama-soie.json
pyjama soie,2023-04-01,23,trends-q4-pyjama-soie.json
pyjama soie,2023-05-01,21,trends-q4-pyjama-soie.json
pyjama soie,2023-06-01,17,trends-q4-pyjama-soie.json
pyjama soie,2023-07-01,18,trends-q4-pyjama-soie.json
pyjama soie,2023-08-01,21,trends-q4-pyjama-soie.json
pyjama soie,2023-09-01,27,trends-q4-pyjama-soie.json
pyjama soie,2023-10-01,29,trends-q4-pyjama-soie.json
pyjama soie,2023-11-01,59,trends-q4-pyjama-soie.json
pyjama soie,2023-12-01,96,trends-q4-pyjama-soie.json
pyjama soie,2024-01-01,44,trends-q4-pyjama-soie.json
pyjama soie,2024-02-01,33,trends-q4-pyjama-soie.json
pyjama soie,2024-03-01,25,trends-q4-pyjama-soie.json
pyjama soie,2024-04-01,25,trends-q4-pyjama-soie.json
pyjama soie,2024-05-01,21,trends-q4-pyjama-soie.json
pyjama soie,2024-06-01,22,trends-q4-pyjama-soie.json
pyjama soie,2024-07-01,18,trends-q4-pyjama-soie.json
pyjama soie,2024-08-01,19,trends-q4-pyjama-soie.json
pyjama soie,2024-09-01,24,trends-q4-pyjama-soie.json
pyjama soie,2024-10-01,34,trends-q4-pyjama-soie.json
pyjama soie,2024-11-01,72,trends-q4-pyjama-soie.json
pyjama soie,2024-12-01,88,trends-q4-pyjama-soie.json
pyjama soie,2025-01-01,40,trends-q4-pyjama-soie.json
pyjama soie,2025-02-01,33,trends-q4-pyjama-soie.json
pyjama soie,2025-03-01,28,trends-q4-pyjama-soie.json
pyjama soie,2025-04-01,21,trends-q4-pyjama-soie.json
pyjama soie,2025-05-01,19,trends-q4-pyjama-soie.json
pyjama soie,2025-06-01,18,trends-q4-pyjama-soie.json
pyjama soie,2025-07-01,21,trends-q4-pyjama-soie.json
pyjama soie,2025-08-01,29,trends-q4-pyjama-soie.json
pyjama soie,2025-09-01,28,trends-q4-pyjama-soie.json
pyjama soie,2025-10-01,35,trends-q4-pyjama-soie.json
pyjama soie,2025-11-01,76,trends-q4-pyjama-soie.json
pyjama soie,2025-12-01,100,trends-q4-pyjama-soie.json
pyjama soie,2026-01-01,51,trends-q4-pyjama-soie.json
pyjama soie,2026-02-01,44,trends-q4-pyjama-soie.json
pyjama soie,2026-03-01,32,trends-q4-pyjama-soie.json
pyjama soie,2026-04-01,27,trends-q4-pyjama-soie.json
pyjama soie,2026-05-01,32,trends-q4-pyjama-soie.json
pyjama soie,2026-06-01,20,trends-q4-pyjama-soie.json
pyjama soie,2026-07-01,26,trends-q4-pyjama-soie.json
pyjama soie,2026-08-01,32,trends-q4-pyjama-soie.json
